file_name,build_time,count_time
10random,0.004413,0.138016
2bitcomp_5,0.138401,0.981479
2bitmax_6,1.583689,6.117063
2bitmax_6_1,1.821630,8.385305
3blocks,0.048022,0.657360
4blocks,4.626725,5.544439
4blocksb,0.025594,1.143766
4step,0.000896,0.115148
50-10-1-q,0.793316,4.865316
50-10-10-q,0.267048,1.419036
50-10-2-q,2.090944,11.738209
50-10-3-q,1.209177,8.080758
50-10-4-q,0.272132,1.294683
50-10-5-q,0.125569,0.913635
50-10-6-q,1.338268,6.325738
50-10-7-q,0.583358,2.804019
50-10-8-q,0.194702,0.939924
50-10-9-q,1.191641,7.870632
50-12-1-q,5.149954,27.615240
50-12-10-q,9.999284,66.890067
50-12-2-q,4.512138,22.553983
50-12-3-q,2.258996,10.405874
50-12-4-q,4.441897,16.430045
50-12-5-q,3.829186,15.520891
50-12-6-q,0.680817,5.684488
50-12-7-q,4.647428,20.853724
50-12-8-q,8.128399,34.915715
50-12-9-q,10.813869,45.660713
50-14-1-q,151.802117,528.953423
50-14-10-q,52.112976,182.541542
50-14-2-q,70.264506,237.682040
50-14-3-q,63.180721,254.285390
50-14-4-q,10.151508,30.607399
50-14-5-q,76.772964,278.728349
50-14-6-q,5.687346,25.154126
50-14-7-q,42.661581,156.334200
50-14-8-q,38.126481,99.739440
50-14-9-q,148.223355,484.601501
50-16-1-q,256.014535,897.519879
50-16-10-q,218.443249,729.967647
50-16-2-q,586.614330,1926.574776
50-16-3-q,203.856015,663.642913
50-16-4-q,414.311000,1695.342227
50-16-5-q,112.804800,403.907090
50-16-6-q,586.507852,1604.458703
50-16-7-q,81.563863,274.224047
50-16-8-q,822.725285,2237.494712
50-16-9-q,361.017757,1073.308934
50-18-2-q,-1.0,-1.0
50-18-3-q,505.751842,1437.780248
50-18-4-q,-1.0,-1.0
50-18-4-q.nnf,-1.0,-1.0
50-18-5-q,-1.0,-1.0
50-18-5-q.nnf,-1.0,-1.0
50-18-6-q,-1.0,-1.0
50-18-8-q,-1.0,-1.0
50-18-8-q.nnf,-1.0,-1.0
50-18-9-q,-1.0,-1.0
50-18-9-q.nnf,-1.0,-1.0
5step,0.000372,0.048104
75-10-1-q,0.003258,0.095258
75-10-10-q,0.009486,0.180489
75-10-2-q,0.029190,0.209612
75-10-3-q,0.000051,0.033527
75-10-4-q,0.016001,0.270796
75-10-5-q,0.047217,0.277535
75-10-6-q,0.021962,0.281355
75-10-7-q,0.019422,0.170758
75-10-8-q,0.052386,0.427246
75-10-9-q,0.049181,0.390847
75-12-1-q,0.458591,2.605631
75-12-10-q,0.069642,0.405068
75-12-2-q,0.050507,0.327963
75-12-3-q,0.844621,4.015904
75-12-4-q,0.087096,0.453773
75-12-5-q,0.211566,0.948432
75-12-6-q,0.132840,0.602185
75-12-7-q,0.315664,1.682827
75-12-8-q,0.243104,1.326417
75-12-9-q,0.039647,0.435918
75-14-1-q,0.274328,2.007742
75-14-10-q,0.955174,3.289399
75-14-2-q,0.331294,1.688224
75-14-3-q,2.201149,8.136565
75-14-4-q,0.752598,3.684183
75-14-5-q,0.573452,3.075552
75-14-6-q,1.185171,4.830160
75-14-7-q,0.393664,1.394360
75-14-8-q,0.483614,2.455593
75-14-9-q,7.678457,32.043776
75-15-1-q,0.566537,3.436370
75-15-10-q,3.040716,10.508577
75-15-2-q,0.959207,7.810798
75-15-3-q,2.748317,15.414485
75-15-4-q,0.105311,0.649555
75-15-5-q,0.000070,0.034739
75-15-6-q,3.080561,8.676375
75-15-7-q,4.090764,20.608572
75-15-8-q,1.739615,8.134613
75-15-9-q,0.226596,1.569371
75-16-1-q,5.963812,26.362814
75-16-10-q,11.767856,27.101175
75-16-2-q,3.470449,14.575375
75-16-3-q,5.051935,16.515358
75-16-4-q,8.165188,34.192837
75-16-5-q,0.458698,2.419209
75-16-6-q,0.727002,4.700008
75-16-7-q,10.051749,39.016432
75-16-8-q,0.313206,2.363943
75-16-9-q,4.161907,18.173197
75-17-1-q,9.352346,39.873969
75-17-10-q,0.454263,2.811137
75-17-2-q,2.119436,7.371280
75-17-3-q,21.488678,72.938150
75-17-4-q,2.450962,11.868010
75-17-5-q,5.366476,23.094708
75-17-6-q,4.604184,16.840670
75-17-7-q,4.816748,22.392785
75-17-8-q,3.104685,8.134250
75-17-9-q,15.193468,45.271976
75-18-1-q,4.385835,20.648256
75-18-10-q,34.645430,119.392331
75-18-2-q,22.328471,71.693253
75-18-3-q,49.619761,172.877480
75-18-4-q,5.763087,23.934805
75-18-5-q,8.120915,25.503745
75-18-6-q,43.678577,119.780654
75-18-7-q,7.137893,22.812862
75-18-8-q,36.642889,128.661881
75-18-9-q,2.498000,8.300014
75-19-1-q,42.979653,119.238642
75-19-10-q,21.409911,73.722604
75-19-2-q,51.810974,180.218348
75-19-3-q,556.564454,1484.105026
75-19-4-q,23.553270,62.431173
75-19-5-q,8.504181,30.048262
75-19-6-q,54.285019,179.353095
75-19-7-q,74.694614,222.965510
75-19-8-q,102.963682,268.847487
75-19-9-q,17.714981,49.711928
75-20-1-q,246.037966,587.480984
75-20-10-q,38.600595,124.334448
75-20-2-q,18.562220,61.785356
75-20-3-q,476.356299,1224.090486
75-20-4-q,52.772368,140.893266
75-20-5-q,4.734113,20.519257
75-20-6-q,14.179602,62.968179
75-20-7-q,463.658601,1244.820384
75-20-8-q,189.139306,512.096171
75-20-9-q,17.565078,62.929797
75-21-1-q,83.712101,194.006748
75-21-10-q,302.236644,750.883076
75-21-2-q,32.939683,77.986257
75-21-3-q,72.216816,153.192282
75-21-4-q,76.273539,230.926454
75-21-5-q,181.500339,504.625805
75-21-6-q,153.041459,443.735989
75-21-7-q,44.369326,120.977898
75-21-8-q,761.059055,1988.488876
75-21-9-q,0.000174,0.049056
75-22-1-q,263.176916,722.662437
75-22-10-q,90.093168,305.232880
75-22-2-q,409.901639,1014.174756
75-22-3-q,154.695901,615.914210
75-22-4-q,-1.0,-1.0
75-22-5-q,423.493428,1060.393639
75-22-6-q,109.511352,301.661356
75-22-8-q,256.868322,771.584505
75-22-9-q,739.086254,2122.756351
75-23-1-q,-1.0,-1.0
75-23-10-q,324.835044,931.675556
75-23-2-q,611.065408,1320.696401
75-23-3-q,634.947877,1125.943589
75-23-4-q,939.175713,1865.275548
75-23-4-q.nnf,-1.0,-1.0
75-23-5-q,-1.0,-1.0
75-23-6-q,247.243144,788.350575
75-23-7-q,-1.0,-1.0
75-23-8-q,219.399397,544.552069
75-24-1-q,-1.0,-1.0
75-24-1-q.nnf,-1.0,-1.0
75-24-10-q,144.109553,441.136460
75-24-2-q,0.000135,0.045209
75-24-4-q,73.987285,170.754167
75-24-5-q,508.890715,1014.359481
75-24-6-q,944.900462,2074.609779
75-24-7-q,130.503799,301.463447
75-24-8-q,170.628593,522.430177
75-25-1-q,440.590224,974.452983
75-25-2-q,-1.0,-1.0
75-25-3-q,-1.0,-1.0
75-25-3-q.nnf,-1.0,-1.0
75-25-6-q,416.844927,1198.379431
75-25-6-q.nnf,-1.0,-1.0
75-26-10-q,198.630193,406.930290
75-26-2-q,1005.966970,2021.969898
75-26-2-q.nnf,-1.0,-1.0
75-26-4-q,132.349842,327.175929
75-26-4-q.nnf,-1.0,-1.0
75-26-7-q,288.492660,627.645341
75-26-9-q,-1.0,-1.0
7z,0.000451,0.113711
90-10-1-q,0.004011,0.077888
90-10-10-q,0.002054,0.135850
90-10-2-q,0.000097,0.043150
90-10-3-q,0.003266,0.077664
90-10-4-q,0.003886,0.071615
90-10-5-q,0.002130,0.068301
90-10-6-q,0.000072,0.076457
90-10-7-q,0.002507,0.077040
90-10-8-q,0.000066,0.048675
90-10-9-q,0.004771,0.170160
90-12-1-q,0.014916,0.199549
90-12-10-q,0.011175,0.147740
90-12-2-q,0.005082,0.134574
90-12-3-q,0.004072,0.115811
90-12-4-q,0.002799,0.074847
90-12-5-q,0.004409,0.140767
90-12-6-q,0.007983,0.114463
90-12-7-q,0.017307,0.325460
90-12-8-q,0.016284,0.181016
90-12-9-q,0.000032,0.046749
90-14-1-q,0.008724,0.188002
90-14-10-q,0.079930,0.511852
90-14-2-q,0.019381,0.162080
