file_name,FastFMC_D0_number_of_nodes,FastFMC_D0_number_of_edges,FastFMC_D_number_of_nodes,FastFMC_D_number_of_edges,alt1_D0_number_of_nodes,alt1_D0_number_of_edges,alt2_D_number_of_nodes,alt2_D_number_of_edges
10random,1680,4066,1970,4930,1915,4923,1934,8433
2bitcomp_5,33371,144095,33786,150268,60518,182600,32396,163131
2bitmax_6,223613,1802586,223979,1803383,532694,2261329,213310,1942392
2bitmax_6_1,223613,1802586,223979,1803383,532694,2261329,213310,1942392
3blocks,624,4116,624,4116,1049,5893,614,4798
4blocks,4522,102141,4522,102141,9681,115795,4390,110504
4blocksb,477,756,477,756,535,912,476,853
4step,382,623,382,623,432,685,380,633
50-10-1-q,24535,74160,24922,118016,126763,282403,24463,125763
50-10-10-q,11787,38749,12050,55416,46678,115526,11603,65399
50-10-2-q,44750,130529,45350,222055,323193,756411,44470,237227
50-10-3-q,45729,143012,46022,211750,232804,592146,44722,249970
50-10-4-q,12456,38957,12740,56815,42313,107555,12272,65161
50-10-5-q,8077,26038,8256,35606,21876,58610,8025,40951
50-10-6-q,38205,121735,39061,187873,176648,500009,37320,243963
50-10-7-q,27286,92103,28127,119332,84179,208351,26788,141109
50-10-8-q,10349,29567,10687,43431,31044,70606,10368,47852
50-10-9-q,26984,94743,27564,133119,201904,490609,26551,158476
50-12-1-q,53087,183698,54421,248702,583809,1490721,51121,335299
50-12-10-q,226714,739906,229359,1027092,982915,2308314,217841,1385166
50-12-2-q,59939,200814,60759,294240,448187,1105223,58959,347578
50-12-3-q,79855,231504,80082,333535,263625,631123,77353,496152
50-12-4-q,135335,464527,136767,679642,376228,967557,131846,837174
50-12-5-q,54975,182989,56155,239842,403990,985692,53828,309991
50-12-6-q,26587,97888,26949,144635,87994,237371,25858,176985
50-12-7-q,162259,521637,163347,715587,440872,1072496,156203,945726
50-12-8-q,107609,354964,110030,502570,938095,2137369,105672,611907
50-12-9-q,61770,190742,62294,287498,1219113,3130769,60664,340376
50-14-1-q,1257933,4119683,1279861,5993519,10828030,30484720,1217448,7343339
50-14-10-q,240226,751073,242831,1085302,3663745,10091110,232064,1561653
50-14-2-q,175702,563556,179643,742834,4888287,14191866,170290,1016325
50-14-3-q,722432,2471322,729231,3466240,5730588,13305516,699736,4558556
50-14-4-q,154155,500169,157153,713668,670389,1698253,149626,932517
50-14-5-q,141524,533174,143828,833501,6411994,16485157,138784,1010264
50-14-6-q,259110,857577,262792,1091981,572748,1390872,249735,1541074
50-14-7-q,1053127,3716341,1069101,5114949,3751382,8417194,1012390,7936786
50-14-8-q,100291,299171,102024,427171,2531369,6036510,97437,590911
50-14-9-q,1011331,2864214,1023457,4574036,11582202,25669488,989737,5260835
50-16-1-q,1366005,4328371,1373141,6069410,19557234,50860542,1336904,7530993
50-16-10-q,7284717,25968605,7470475,34029780,14413760,36916480,7044878,45569271
50-16-2-q,4687701,13354551,4799705,18872652,42436333,91625775,4560042,25142150
50-16-3-q,1629712,6118935,1653157,8101809,12197357,36454163,1545984,10994732
50-16-4-q,3706103,12066201,3746727,17243729,31786061,98247364,3552913,21615693
50-16-5-q,1945921,6508530,1984568,9441001,8751269,23521794,1888193,12380754
50-16-6-q,1088886,3730612,1103049,5011762,36428965,88489769,1049828,7617746
50-16-7-q,536586,1810539,548228,2518034,5980235,14998130,517258,3312573
50-16-8-q,1211147,3874036,1223059,5399715,46019576,108235687,1156071,7918611
50-16-9-q,2982183,9422978,3049649,12941542,20403834,46865904,2896610,18504317
50-18-2-q,4209659,14047977,4244194,19961099,81764654,275275764,4052545,30389398
50-18-3-q,2267769,7962059,2306641,10746080,27191284,69214689,2181591,13706637
50-18-4-q,15331296,51250398,15609383,66606783,--,--,14713189,105468797
50-18-5-q,16708767,45359919,16980819,59544128,--,--,16043324,121200241
50-18-6-q,6383315,19536038,6500584,27275061,80369610,287346475,6123897,37411247
50-18-8-q,4582272,16160765,4640575,21711770,78202748,175486740,4344019,32806064
50-18-9-q,3491547,11706768,3531773,16737552,53202926,192351477,3392625,20495190
5step,277,368,304,425,299,390,304,425
75-10-1-q,1488,2317,1549,2766,1863,3469,1518,2797
75-10-10-q,1561,2663,1620,3265,2808,9090,1602,3295
75-10-2-q,2732,8765,2848,11610,7412,21726,2792,13576
75-10-3-q,1382,1381,1382,1381,--,--,--,--
75-10-4-q,1923,4163,1993,5132,3406,8440,1975,5540
75-10-5-q,3519,11069,3607,13112,7493,22641,3461,16027
75-10-6-q,2226,5241,2306,6808,4962,14229,2228,7573
75-10-7-q,2128,4794,2218,6296,5730,14341,2157,6723
75-10-8-q,3439,11962,3547,14534,7968,26053,3426,17969
75-10-9-q,4094,17297,4261,21713,10329,35279,4105,26480
75-12-1-q,8375,34321,8603,44321,52507,214485,8273,53653
75-12-10-q,3471,9665,3596,12333,15514,48149,3555,12852
75-12-2-q,5045,18126,5187,21721,11184,34095,5008,26532
75-12-3-q,10241,33867,10483,41509,96514,379872,9937,68231
75-12-4-q,3750,9633,3837,12348,12173,37719,3753,15296
75-12-5-q,12932,41175,13180,53353,30523,78360,12590,66189
75-12-6-q,8935,35850,9180,48150,16373,49423,8816,58622
75-12-7-q,4283,12630,4410,15770,27453,114928,4325,17708
75-12-8-q,12588,56286,12916,67042,28380,121638,12196,93101
75-12-9-q,4197,11406,4311,14497,9725,29760,4007,16237
75-14-1-q,5406,19993,5544,23462,24671,120951,5330,30596
75-14-10-q,14483,57065,14850,69396,102728,332319,14138,86721
75-14-2-q,8037,32133,8267,40378,41919,131284,8029,46874
75-14-3-q,13930,54271,14161,70772,218781,627007,13767,91204
75-14-4-q,10683,37175,11018,46130,88351,269740,10455,62091
75-14-5-q,8028,34295,8221,42093,49555,237995,7959,58051
75-14-6-q,11920,40898,12231,50807,115831,419717,11667,77967
75-14-7-q,15053,67302,15362,85527,31528,120875,14708,102303
75-14-8-q,18352,84900,18592,110007,58892,210235,17657,149732
75-14-9-q,66964,252257,68776,318622,691754,2109387,64822,428959
75-15-1-q,10396,41255,10646,50579,58507,266225,10162,63422
75-15-10-q,18492,68818,18919,94609,200265,815332,18104,127845
75-15-2-q,16779,67656,17069,86047,126221,469589,16319,113359
75-15-3-q,21192,74169,21563,94465,233342,1008294,20738,121787
75-15-4-q,7548,24272,7756,28783,15457,44764,7441,35522
75-15-5-q,3197,3196,3197,3196,--,--,--,--
75-15-6-q,19628,80235,19926,105027,249694,976770,19021,131211
75-15-7-q,89934,361064,91965,449864,380090,1464231,85578,641340
75-15-8-q,16294,63620,16561,85107,168646,482322,15939,113098
75-15-9-q,12929,54815,13269,65080,32474,106729,12548,105987
75-16-1-q,42562,193012,43355,232734,629869,2438143,40748,416989
75-16-10-q,34101,156032,34634,188109,669164,2136885,32894,287705
75-16-2-q,45771,203118,46597,249159,313532,1103955,43846,371729
75-16-3-q,68331,284348,69461,342421,376275,1273900,65277,521100
75-16-4-q,108235,536850,109058,747702,691722,2268770,103201,951751
